"id","card_brand","card_type","current_age","age_range","address","gender","credit_score","labels"
0,Amex,Credit,33,"31-40","858 Plum Avenue",Male,763,Cukup Baik
1,Mastercard,Credit,43,"41-50","113 Burns Lane",Female,704,Cukup Baik
2,Mastercard,Debit,48,"41-50","6035 Forest Avenue",Male,673,Sedang
3,Visa,Credit,49,"41-50","840 Elm Avenue",Male,681,Sedang
4,Mastercard,Debit,54,"51-60","6016 Little Creek Boulevard",Female,716,Cukup Baik
5,Visa,Debit,65,"61-70","1032 Second Lane",Male,711,Cukup Baik
6,Amex,Credit,19,"10-20","534 Second Lane",Female,782,Cukup Baik
7,Mastercard,Debit,74,"71-80","124 Madison Lane",Male,650,Sedang
8,Mastercard,Credit,21,"21-30","41 East Boulevard",Male,699,Sedang
9,Amex,Credit,29,"21-30","22 Mill Drive",Male,540,Buruk
10,Mastercard,Debit,30,"21-30","835 George Drive",Male,727,Cukup Baik
11,Mastercard,Debit,39,"31-40","6339 Fourth Street",Female,714,Cukup Baik
12,Visa,Credit,18,"10-20","345 George Avenue",Female,748,Cukup Baik
13,Mastercard,Credit,52,"51-60","4222 Ocean View Drive",Female,588,Buruk
14,Mastercard,Debit,79,"71-80","2487 Martin Luther King Drive",Female,652,Sedang
15,Mastercard,Debit,52,"51-60","401 Bayview Lane",Female,788,Cukup Baik
16,Visa,Debit,75,"71-80","2890 Eighth Lane",Male,681,Sedang
17,Visa,Debit,76,"71-80","2012 Forest Avenue",Male,759,Cukup Baik
18,Mastercard,Credit,30,"21-30","9207 Madison Boulevard",Male,637,Sedang
19,Mastercard,Debit,82,"81-90","6577 Catherine Lane",Female,630,Sedang
20,Visa,Credit,86,"81-90","3631 Plum Boulevard",Female,757,Cukup Baik
21,Visa,Credit,48,"41-50","819 Park Boulevard",Male,850,Cukup Baik
22,Visa,Debit (Prepaid),56,"51-60","5651 North Boulevard",Male,747,Cukup Baik
23,Visa,Credit,18,"10-20","9085 West Drive",Female,645,Sedang
24,Visa,Debit,48,"41-50","55378 Burns Avenue",Female,708,Cukup Baik
25,Visa,Debit,22,"21-30","814 Washington Street",Female,630,Sedang
26,Mastercard,Credit,49,"41-50","9639 Third Boulevard",Female,685,Sedang
27,Visa,Credit,78,"71-80","3553 Mountain View Drive",Female,613,Sedang
28,Visa,Debit,39,"31-40","871 12th Lane",Female,789,Cukup Baik
29,Visa,Credit,68,"61-70","318 Spruce Boulevard",Female,665,Sedang
30,Visa,Credit,23,"21-30","2478 El Camino Avenue",Female,577,Buruk
31,Visa,Debit,51,"51-60","413 East Boulevard",Female,712,Cukup Baik
32,Visa,Debit (Prepaid),82,"81-90","7336 First Avenue",Female,695,Sedang
33,Visa,Credit,77,"71-80","6335 Rose Lane",Female,596,Buruk
34,Amex,Credit,41,"41-50","7467 Spruce Drive",Male,737,Cukup Baik
35,Discover,Credit,20,"10-20","8460 Oak Lane",Male,773,Cukup Baik
36,Mastercard,Debit,31,"31-40","8486 Catherine Street",Male,722,Cukup Baik
37,Mastercard,Debit,41,"41-50","533 Sussex Drive",Female,683,Sedang
38,Mastercard,Credit,45,"41-50","582 Birch Boulevard",Female,621,Sedang
39,Mastercard,Debit,54,"51-60","984 Eighth Avenue",Female,583,Buruk
40,Mastercard,Debit,71,"71-80","2786 Forest Lane",Male,726,Cukup Baik
41,Mastercard,Credit,38,"31-40","2750 Rose Boulevard",Male,637,Sedang
42,Visa,Credit,78,"71-80","3863 Pine Street",Female,684,Sedang
43,Visa,Credit,26,"21-30","5594 12th Drive",Female,721,Cukup Baik
44,Visa,Debit,85,"81-90","8651 Seventh Street",Male,680,Sedang
45,Visa,Debit,61,"61-70","9473 Mill Street",Female,654,Sedang
46,Visa,Debit (Prepaid),62,"61-70","20 Littlewood Boulevard",Male,632,Sedang
47,Visa,Credit,47,"41-50","523 Federal Drive",Male,712,Cukup Baik
48,Amex,Credit,69,"61-70","5233 Valley Stream Street",Male,733,Cukup Baik
49,Mastercard,Debit,38,"31-40","190 Burns Avenue",Male,686,Sedang
50,Mastercard,Credit,68,"61-70","267 Birch Boulevard",Female,702,Cukup Baik
51,Mastercard,Debit,29,"21-30","3260 Hillside Lane",Female,688,Sedang
52,Mastercard,Credit,56,"51-60","13 Rose Boulevard",Female,730,Cukup Baik
53,Mastercard,Debit,49,"41-50","7406 Mill Avenue",Female,701,Cukup Baik
54,Mastercard,Debit,21,"21-30","7914 Essex Boulevard",Female,696,Sedang
55,Mastercard,Debit,61,"61-70","3374 Littlewood Street",Female,717,Cukup Baik
56,Mastercard,Debit (Prepaid),22,"21-30","5762 River Lane",Female,682,Sedang
57,Mastercard,Debit,28,"21-30","9706 Mountain View Street",Female,823,Cukup Baik
58,Mastercard,Debit,38,"31-40","6561 George Avenue",Female,706,Cukup Baik
59,Visa,Debit,85,"81-90","726 Oak Avenue",Female,695,Sedang
60,Visa,Debit,47,"41-50","467 Birch Avenue",Female,655,Sedang
61,Visa,Debit (Prepaid),44,"41-50","4121 Mountain View Boulevard",Female,801,Tidak Baik
62,Visa,Credit,78,"71-80","9911 Rose Street",Female,716,Cukup Baik
63,Visa,Debit,40,"31-40","390 Tenth Street",Male,660,Sedang
64,Amex,Credit,39,"31-40","95 12th Avenue",Female,702,Cukup Baik
65,Amex,Credit,51,"51-60","4514 Elm Street",Female,645,Sedang
66,Discover,Credit,20,"10-20","69 Norfolk Avenue",Female,721,Cukup Baik
67,Mastercard,Credit,23,"21-30","1 Sixth Boulevard",Female,732,Cukup Baik
68,Mastercard,Debit,42,"41-50","58 Birch Lane",Male,704,Cukup Baik
69,Mastercard,Credit,54,"51-60","3067 First Street",Female,748,Cukup Baik
70,Mastercard,Credit,20,"10-20","8997 Summit Avenue",Male,635,Sedang
71,Mastercard,Debit,39,"31-40","164 Ocean View Street",Male,701,Cukup Baik
72,Mastercard,Debit,37,"31-40","550 Forest Street",Male,580,Buruk
73,Mastercard,Debit,48,"41-50","2193 Sixth Avenue",Male,674,Sedang
74,Mastercard,Debit,54,"51-60","1444 Plum Boulevard",Female,783,Cukup Baik
