"client_id","card_brand","card_type","current_age","retirement_age","remaining_working_period","birth_year","birth_month","gender","address","per_capita_income","credit_score"
0,Mastercard,Credit,33,69,36,1986,March,Male,"858 Plum Avenue",29237,763
1,Visa,Debit,43,74,31,1976,April,Female,"113 Burns Lane",22247,704
2,Mastercard,Credit,48,64,16,1971,August,Male,"6035 Forest Avenue",13461,673
3,Mastercard,Debit (Prepaid),49,65,16,1970,December,Male,"840 Elm Avenue",13705,681
4,Visa,Debit,54,72,18,1965,March,Female,"6016 Little Creek Boulevard",37485,716
5,Visa,Debit,65,65,0,1955,February,Male,"1032 Second Lane",19095,711
6,Mastercard,Credit,19,63,44,2000,June,Female,"534 Second Lane",27394,782
7,Mastercard,Debit,74,61,-13,1945,May,Male,"124 Madison Lane",20919,650
8,Amex,Credit,21,69,48,1998,August,Male,"41 East Boulevard",18881,699
9,Mastercard,Debit,29,60,31,1990,December,Male,"22 Mill Drive",20102,540
10,Mastercard,Debit,30,66,36,1990,February,Male,"835 George Drive",28871,727
11,Visa,Credit,39,67,28,1980,October,Female,"6339 Fourth Street",33175,714
12,Mastercard,Debit,18,63,45,2002,February,Female,"345 George Avenue",18531,748
13,Visa,Credit,52,61,9,1967,June,Female,"4222 Ocean View Drive",15879,588
14,Visa,Credit,79,57,-22,1940,December,Female,"2487 Martin Luther King Drive",21314,652
15,Visa,Debit,52,66,14,1968,February,Female,"401 Bayview Lane",14553,788
16,Mastercard,Debit (Prepaid),75,67,-8,1944,December,Male,"2890 Eighth Lane",15451,681
17,Mastercard,Debit,76,65,-11,1943,July,Male,"2012 Forest Avenue",17850,759
18,Visa,Debit (Prepaid),30,62,32,1989,December,Male,"9207 Madison Boulevard",31555,637
19,Mastercard,Debit (Prepaid),82,68,-14,1937,May,Female,"6577 Catherine Lane",23071,630
20,Mastercard,Credit,86,67,-19,1933,December,Female,"3631 Plum Boulevard",19477,757
21,Mastercard,Debit,48,66,18,1972,February,Male,"819 Park Boulevard",21131,850
22,Visa,Credit,56,66,10,1963,March,Male,"5651 North Boulevard",26467,747
23,Visa,Debit (Prepaid),18,70,52,2001,May,Female,"9085 West Drive",31193,645
